"Round 1","Round 2","Round 3","Round 4","Cell type number","Final cell type","X","Y","CD31...vasculature.Cyc_19_ch_3","CD34...vasculature.Cyc_20_ch_3","Cytokeratin...epithelia.Cyc_10_ch_2","aSMA...smooth.muscle.Cyc_11_ch_2","Podoplanin...lymphatics.Cyc_19_ch_4","CD45...hematopoietic.cells.Cyc_4_ch_2","CD15...granulocytes.Cyc_14_ch_2","CD3...T.cells.Cyc_16_ch_4","CD20...B.cells.Cyc_8_ch_3","CD11c...DCs.Cyc_12_ch_3","CD163...macrophages.Cyc_17_ch_3","CD68...macrophages.Cyc_18_ch_4","CD38...multifunctional.Cyc_20_ch_4","CD56...NK.cells.Cyc_10_ch_4","CD8...cytotoxic.T.cells.Cyc_3_ch_2","CD4...T.helper.cells.Cyc_6_ch_3","CD45RO...memory.cells.Cyc_18_ch_3","FOXP3...regulatory.T.cells.Cyc_2_ch_3"
"immune cells","CD15+ granulocytes","Unknown","Unknown","7","CD15+ granulocytes","425","256","0","112.8308945","24.07732391","582.729126","65.68562317","141.5187683","1061.878662","327.1961975","0","18.75677872","6.152198315","352.4037476","343.081543","1111.47876","869.4691772","136.4459686","4655.367676","128.5538025"
"immune cells","CD3+ T cells","Unknown","Unknown","6","CD3+ T cells","427","306","129.4247131","112.5464706","0","275.9923401","67.80235291","73.62470245","1481.693481","209.950592","0","397.5123596","879.6935425","1398.737671","771.3788452","1244.341187","443.8188171","318.1382446","5553.150391","368.74646"
"aSMA+ stroma","Unknown","Unknown","Unknown","3","aSMA+ stroma","405","1343","17.63434219","46.32875443","15.08291912","855.6438599","15.25393105","0","15.58833122","46.27737808","0","13.01670933","72.69224548","147.5660553","135.4614563","894.8668213","42.39098358","8.069980621","1495.96875","101.5656738"
"Unknown","Unknown","Unknown","Unknown","0","Unknown","447","125","0","1.741200447","0.75637424","0","164.6653137","0","315.2961121","39.89117432","0","96.86538696","399.1110229","1208.440796","172.7563934","700.5751953","384.131897","0","2625.78833","199.7671509"
"Unknown","Unknown","Unknown","Unknown","0","Unknown","451","347","0","0","0","0","45.03310013","0","1691.479248","143.9346008","0","116.2602386","2205.73877","2013.108398","163.8108826","1092.044556","790.1429443","143.1826172","3490.369141","438.7469177"
"immune cells","CD15+ granulocytes","Unknown","Unknown","7","CD15+ granulocytes","454","285","0.487414181","54.01716232","0","461.7654419","41.39359283","66.81121063","586.5823975","86.57322693","0","306.8398132","687.6887817","468.4016113","118.4851227","728.0423584","200.3684235","46.90617752","3514.421143","111.3970261"
"aSMA+ stroma","Unknown","Unknown","Unknown","3","aSMA+ stroma","457","355","17.50523186","260.5079956","12.48520279","2040.158569","43.79179764","0","0","138.5714569","0","19.3572216","0","635.4963379","298.5863037","720.5828247","46.01368332","0","2559.305908","141.8477173"
"immune cells","CD3+ T cells","Unknown","Unknown","6","CD3+ T cells","461","436","0.022079771","72.58547211","0","568.3625488","129.7763519","33.84401703","4379.524414","276.0733643","0","57.32193756","147.8340454","2352.195068","465.714386","1548.847534","965.2727661","637.3198242","6095.759766","158.884613"
"Unknown","Unknown","Unknown","Unknown","0","Unknown","479","288","0","22.53460503","0","15.05171776","110.5944214","0","2390.654297","73.29388428","0","39.26953888","124.7972946","1503.240112","407.1954651","799.156311","609.3829956","14.71864986","3611.990479","100.0386353"
"immune cells","CD15+ granulocytes","Unknown","Unknown","7","CD15+ granulocytes","488","286","87.83855438","188.0757751","0.654587388","87.19993591","108.3258133","117.115593","3242.504639","194.2381744","0.00925157","338.3900146","450.8939514","1069.533813","645.6292114","743.9216919","698.6387939","262.4187622","3023.829346","502.1211853"
"immune cells","CD15+ granulocytes","Unknown","Unknown","7","CD15+ granulocytes","498","85","13.36284447","225.1901245","61.60377502","1563.583496","213.155304","160.9281616","970.7061157","211.3178558","0.031204645","154.8976746","429.0341187","589.3171387","461.8149414","533.0841675","628.5413818","217.665451","2510.518066","406.8120422"
"Unknown","Unknown","Unknown","Unknown","0","Unknown","507","170","0","23.63853455","4.179459095","290.1658325","26.16208076","0","42.80552292","74.04214478","0","809.9749146","90.25614166","291.2328186","0","388.2338562","96.59938812","220.4825592","1086.417114","0"
"Unknown","Unknown","Unknown","Unknown","0","Unknown","506","328","0.181093395","31.09794998","0","3960.847412","72.02163696","14.03644657","1.75854218","231.7414551","0","232.7164001","1006.227783","1224.082031","884.5808716","1142.326904","157.0159454","110.4293823","3114.039795","219.0763092"
"immune cells","CD3+ T cells","Unknown","Unknown","6","CD3+ T cells","525","194","11.3568449","127.7496719","0.224370375","125.015892","135.0836029","154.3283844","5440.937988","534.6654663","0","26.0538311","330.5298462","1587.804321","596.0608521","1812.169922","1691.338623","1198.887207","5828.662598","201.6815491"
"immune cells","CD3+ T cells","Unknown","Unknown","6","CD3+ T cells","557","595","110.002243","260.552887","0.85104537","604.5536499","92.86995697","1602.029419","0.244143412","496.2325745","0","165.7606506","400.4151917","1635.130249","295.9781189","419.7720337","1699.858032","1076.695313","5751.154785","245.2727203"
"immune cells","Unknown","Unknown","Unknown","5","immune cells","567","146","7.942560673","47.694664","0.49376151","714.9754028","42.0667572","191.7640686","0.457480192","54.84884644","0","408.2445374","861.5097656","2726.837158","413.2901611","510.0064697","108.2226028","187.3883514","1685.764404","0"
"immune cells","CD15+ granulocytes","Unknown","Unknown","7","CD15+ granulocytes","568","346","0","255.1373901","0","8.885238647","285.739502","87.16309357","2919.272949","170.2948151","0","339.9629517","490.0271912","1002.753723","241.3639984","1187.709961","505.1282959","670.435791","4336.760254","194.1023712"
"immune cells","CD11c+ DCs","Unknown","Unknown","9","CD11c+ DCs","588","38","67.5033493","0","0","0","34.02587128","253.5594025","0","104.6265182","0","888.96698","0","43.98443222","249.949585","664.7380371","294.0247803","0","2464.791016","175.0047913"
"vasculature","Unknown","Unknown","Unknown","1","vasculature","584","493","32.34584808","378.5557556","0","0","63.75574493","0","1353.497803","0","0.006485521","58.55844116","146.732605","1141.151489","183.9998627","986.8488159","510.3404541","361.5396118","1636.920044","268.875824"
"immune cells","CD15+ granulocytes","Unknown","Unknown","7","CD15+ granulocytes","596","367","192.2461243","107.8238525","0","697.104126","103.0202789","126.9700546","1944.002075","136.5056458","0.121630885","44.71247482","153.9456329","611.3729858","2343.312744","985.0947266","592.3979492","277.9201355","4805.522461","32.55486298"
"Unknown","Unknown","Unknown","Unknown","0","Unknown","603","241","0","14.27554035","0","28.9645977","183.416275","0","4470.690918","201.2744293","0.253456891","28.11076355","106.449028","3397.356445","529.9725952","772.8338013","923.2789917","51.63295746","2449.051758","186.8707123"
"Unknown","Unknown","Unknown","Unknown","0","Unknown","604","466","0","3248.936279","0","0","129.1105194","658.0655518","4985.337402","419.8838501","0","112.7858429","320.707428","640.5136719","208.2238617","1217.769165","1314.234131","853.7752075","5395.055664","428.7807312"
"Unknown","Unknown","Unknown","Unknown","0","Unknown","618","179","2.099098206","144.7675781","0","0","61.73215866","0","1434.397217","108.7726746","0","262.7294922","218.7137451","688.3937378","256.1600647","675.2553711","0","433.9200745","3017.064941","84.41732788"
"lymphatics","Unknown","Unknown","Unknown","4","lymphatics","619","928","0","10.47170162","0","0","454.9911194","0","0.090397425","0","0.001620869","0","0","185.8453369","403.7870789","471.9678955","86.34200287","0","1882.072266","0"
"Unknown","Unknown","Unknown","Unknown","0","Unknown","654","292","0","0","0","1917.55957","69.50185394","0","1734.779541","67.88469696","0","16.89640427","170.3654785","1107.874512","270.9842834","966.6034546","434.6989746","104.9727173","1539.29834","205.5089264"
"immune cells","CD15+ granulocytes","Unknown","Unknown","7","CD15+ granulocytes","669","284","25.98573494","183.8181915","14.6414566","521.5442505","86.8944397","59.87182999","1575.243408","393.6559753","0.087317437","175.139267","118.5543976","506.1932373","132.632843","737.2684326","322.0976257","388.8299561","3178.610107","163.3577576"
"immune cells","Unknown","Unknown","Unknown","5","immune cells","680","779","0.607296288","9.203706741","0","106.1183701","532.6918945","16.47335625","0","123.5410843","0.000862","120.1999207","113.3785248","166.1783447","121.3889771","614.8279419","84.09041595","47.61618042","6231.390625","225.2731934"
"immune cells","NK cells","Unknown","Unknown","12","NK cells","691","172","0","13.19101238","0.239197627","0","76.93445587","83.28742218","0","32.01934052","0","139.1373444","46.33308029","526.2057495","293.4571533","583.5950928","168.3157806","45.54942703","2088.845459","68.05493927"
"immune cells","CD3+ T cells","CD8+ T cells","Unknown","13","CD8+ T cells","692","18","0.059213884","57.06483078","0","1.01123023","203.3568115","29.84634972","8667.328125","455.9035339","0","65.39560699","1231.182251","3294.876953","768.4609375","1988.183228","2307.162354","582.5762939","3250.611084","122.6569672"
"immune cells","CD15+ granulocytes","Unknown","Unknown","7","CD15+ granulocytes","691","217","23.54189682","27.40737534","0","0","72.42896271","102.5183182","84.31494904","143.7247772","0.001828219","7.358739853","0","1123.097412","1094.778931","829.8355103","670.0896606","82.43040466","2423.67749","82.54812622"
"Unknown","Unknown","Unknown","Unknown","0","Unknown","731","328","0","156.5209503","0","989.4706421","157.1518555","0","989.6501465","119.5892105","0","174.6284943","420.4209595","1262.591553","214.0044403","695.9005127","520.2939453","17.60613441","1369.214355","136.7962189"
"immune cells","Unknown","Unknown","Unknown","5","immune cells","805","167","0","19.93033028","0","10.78893661","134.2770691","79.07564545","0","59.41539383","0","46.37738037","0","243.4736328","178.0964508","310.1716614","108.3291855","26.93779755","3019.518066","231.2058563"
"Unknown","Unknown","Unknown","Unknown","0","Unknown","830","260","13.13051891","186.1319427","0","0","65.05381775","0","0","365.9945984","0.008757613","1.8799088","479.8426514","303.8493652","155.414978","445.5200195","28.93963051","0","1267.750488","311.7235718"
"Unknown","Unknown","Unknown","Unknown","0","Unknown","844","309","2.780219793","2029.445679","0","243.3296661","278.6788635","9.875457764","3671.075684","178.744812","0","44.61294174","156.627594","634.5140381","172.4273529","674.3088989","339.9536133","117.2564087","800.8925781","201.3113556"
"vasculature","Unknown","Unknown","Unknown","1","vasculature","851","114","98.09428406","650.9782715","2.080118895","34.65197372","33.27088165","6.068070889","2.432047129","21.48955345","0","48.16703796","118.3018799","132.2983093","66.91088104","214.1529388","19.84428787","0","114.4285507","165.763504"
"vasculature","Unknown","Unknown","Unknown","1","vasculature","842","876","290.8344421","2013.181885","0","6.167222023","1538.752808","43.56295776","8512.518555","211.8770752","0","22.30513","169.2185211","2524.600586","440.6052551","1574.34375","1767.496704","760.3934326","3592.530273","171.053299"
"Unknown","Unknown","Unknown","Unknown","0","Unknown","863","119","0","336.776886","0","0","23.39238548","0","0","71.28346252","0","68.15247345","203.4389648","143.3340759","66.85370636","185.5457153","76.96312714","97.90164185","447.7546692","94.20507813"
"immune cells","Unknown","Unknown","Unknown","5","immune cells","872","190","200.4454651","1852.094727","0.333082199","0","2716.624023","29.92731476","3665.982666","107.3086166","0","10.78612041","99.41954041","950.8123169","317.0411072","1280.95874","509.4505615","728.6868896","2062.643555","102.9612732"
"Unknown","Unknown","Unknown","Unknown","0","Unknown","898","527","0","93.96108246","0","252.9736786","146.3942261","0","793.8980103","123.4972687","0","78.81275177","320.7621155","1153.92981","299.5253296","606.4678345","236.3336334","92.61601257","1634.603027","229.8440094"
"aSMA+ stroma","Unknown","Unknown","Unknown","3","aSMA+ stroma","891","1330","445.7367249","53.33021545","0","617.3779297","29.42022705","1929.383667","0","52.97797394","0","548.0755615","317.8768311","1475.057983","141.2034912","317.1060791","83.09159851","325.9581909","325.549469","277.9457092"
"Unknown","Unknown","Unknown","Unknown","0","Unknown","923","209","0","0","0","0","15.58797073","0","0","0","0","0","0","43.83678436","0","265.9646912","124.3187943","0","247.771347","0"
"Unknown","Unknown","Unknown","Unknown","0","Unknown","923","341","19.64302254","138.085083","1.17700839","569.2214966","226.6580811","8.100016594","2059.60498","323.9309692","0.00026","163.2759399","457.8460693","946.2200928","305.3020935","563.5980835","340.9215393","354.6194763","3524.941406","286.2232056"
"immune cells","CD68+CD163+ macrophages","Unknown","Unknown","10","CD68+CD163+ macrophages","914","1041","29.68960953","222.184082","0.51389569","101.9149094","106.8951645","211.0750427","0.010447688","138.7384644","0.013059611","398.1004639","2139.074463","1479.313843","276.4165344","339.9368896","173.391922","462.6755676","5536.3125","428.786377"
"immune cells","Unknown","Unknown","Unknown","5","immune cells","927","353","0","0","0","0","270.3250732","260.6322937","0","0","0","0","0","0","0","400.6294556","0","0","1179.161987","5.035668373"
"immune cells","CD3+ T cells","Unknown","Unknown","6","CD3+ T cells","960","1032","0","175.3516846","0","187.6036224","779.6167603","57.48396683","2482.622314","339.2250061","0","19.42856979","168.9505005","2925.494385","1620.87854","1391.714478","635.5526123","685.973999","4350.469727","153.9108887"
"lymphatics","Unknown","Unknown","Unknown","4","lymphatics","949","951","0","0","0.277233571","41.20091248","573.2242432","6.354913712","0.432884574","0.828307748","0","0","0","0","0","551.4540405","155.723114","0","1854.009644","0"
"immune cells","CD15+ granulocytes","Unknown","Unknown","7","CD15+ granulocytes","973","700","204.2645721","300.5335388","5.425401211","100.9612503","150.634201","52.50078964","3195.278076","131.4521027","16.90151215","44.00658798","0","0","408.8206482","629.9558716","559.1104126","213.2574463","1677.230591","108.7506485"
"immune cells","Unknown","Unknown","Unknown","5","immune cells","974","914","14.25057793","441.5562134","6.862103939","256.9562378","1406.346558","15.67932987","3043.717773","142.8869629","0","57.50837326","387.8864441","918.7302856","279.0432434","890.741333","552.46521","343.7014465","2458.242676","0"
"vasculature","Unknown","Unknown","Unknown","1","vasculature","994","536","43.69970703","692.5357666","4.247652054","0","121.7544479","0","9.034061432","49.6314621","0.00172712","0","0","12.35510349","52.24805832","459.0479431","94.82819366","13.63292313","309.2890015","95.46329498"
